epoch,train_loss,validation_loss
0,0.533233047003731,
1,0.2165647331770773,
2,0.17113577831760757,
3,0.14667879118964688,
4,0.13596769587511498,
5,0.10562195974267398,
6,0.09221695056686684,
7,0.08468512376453707,
8,0.0764823274051627,
9,0.07611098464621661,0.10696112364530563
10,0.06794468443270343,
11,0.06511932059949403,
12,0.061278190223820736,
13,0.05550110045871614,
14,0.04956722105317282,
15,0.046014178202043995,
16,0.04709658721400919,
17,0.0424423108571686,
18,0.045049630907986714,
19,0.04445485840723658,0.10032091289758682
